title,description,category,vibe
Цветочный сад,Прогулка среди цветов,Природа,Нежное
Небольшой поход,Легкий трекинг на природе,Активность,Энергичное
Закат у озера,Спокойный вечер у воды,Природа,Романтичное
Арт-пространство,Посетить творческую площадку,Культура,Творческое
Иммерсивная выставка,Интерактивное искусство,Культура,Любопытное
Вечер поэзии,Послушать чтение стихов,Культура,Мечтательное
Музыкальный бар,Живая музыка вечером,Культура,Энергичное
Совместный плейлист,Собрать музыку вместе,Дом,Личное
Карточные игры,Поиграть в карты,Игры,Игривое
Собрать пазл,Спокойный вечер с пазлом,Дом,Уютное
Рисовать вместе,Нарисовать что-то вместе,Творчество,Творческое
Лепка из глины,Мастер-класс по керамике,Творчество,Творческое
Дегустация чая,Попробовать редкие чаи,Еда,Спокойное
Гастромаркет,Попробовать еду разных кухонь,Еда,Любопытное
Уличная еда,Поесть в фуд-траках,Еда,Игривое
Новая кухня,Попробовать кухню другой страны,Еда,Любопытное
Домашняя пицца,Сделать пиццу вместе,Дом,Уютное
Выпечка,Испечь печенье или пирог,Дом,Уютное
Сложное блюдо,Попробовать приготовить что-то новое,Дом,Азартное
Ужин-сюрприз,Один готовит для другого,Дом,Романтичное
Десертный тур,Посетить несколько кондитерских,Еда,Игривое
Завтрак на балконе,Устроить утро с видом,Дом,Нежное
Городской квест,Исследовать город по заданиям,Город,Азартное
Список путешествий,Составить список стран,Дом,Мечтательное
Планирование поездки,Спланировать будущее путешествие,Путешествие,Мечтательное
Поездка в соседний город,Маленькое путешествие,Путешествие,Спонтанное
Поиск красивых мест,Открыть новые локации,Город,Любопытное
Новый район,Гулять там где раньше не были,Город,Спонтанное
Фотоальбом,Собрать совместные фотографии,Дом,Личное
Разговор о мечтах,Поделиться планами,Дом,Личное
Истории из жизни,Рассказывать забавные истории,Дом,Личное
Вопросы друг другу,Игра с вопросами,Дом,Личное
Аквариум,Посмотреть на морских животных,Культура,Спокойное
Уличные музыканты,Слушать музыку на улице,Город,Атмосферное
Спортивный матч,Посмотреть игру,Спорт,Энергичное
Караоке,Спеть любимые песни,Игры,Игривое
Новое хобби,Попробовать новое занятие,Творчество,Любопытное
Прогулка без телефонов,Провести время офлайн,Город,Личное
Тематическое кафе,Посетить необычное место,Еда,Игривое
Рынок цветов,Прогулка среди цветов,Природа,Нежное
День без плана,Импровизировать,Город,Спонтанное
Закат и разговоры,Просто сидеть и разговаривать,Природа,Личное
Прокат самокатов,Прокатиться по городу,Активность,Энергичное
Катамаран,Плавание по воде,Активность,Романтичное
Лодочная прогулка,Катание на лодке,Активность,Романтичное
Прогулка по мостам,Исследовать мосты города,Город,Атмосферное
Книжный магазин,Выбрать книги друг другу,Культура,Уютное
Антикафе,Провести вечер с играми,Игры,Игривое
Кино-марафон,Посмотреть несколько фильмов,Дом,Уютное
Музыкальный вечер,Слушать музыку и обсуждать,Дом,Атмосферное
